,Year,LandAverageTemperature,land_avg_fahrenheit
107,1900,8.501583333333333,47.30285
108,1901,8.541916666666665,47.37545000000001
109,1902,8.304416666666667,46.94795
110,1903,8.220166666666668,46.7963
111,1904,8.090916666666667,46.563649999999996
112,1905,8.225166666666665,46.80530000000001
113,1906,8.379083333333334,47.08235
114,1907,7.947166666666667,46.304899999999996
115,1908,8.186083333333334,46.73495
116,1909,8.17825,46.720850000000006
117,1910,8.223,46.8014
118,1911,8.177000000000001,46.7186
119,1912,8.165416666666667,46.697750000000006
120,1913,8.297749999999999,46.93595
121,1914,8.5905,47.4629
122,1915,8.593166666666665,47.4677
123,1916,8.22525,46.80545000000001
124,1917,8.023333333333335,46.44200000000001
125,1918,8.130833333333333,46.6355
126,1919,8.38225,47.08805
127,1920,8.35875,47.045750000000005
128,1921,8.571,47.4278
129,1922,8.408000000000001,47.1344
130,1923,8.422166666666666,47.1599
131,1924,8.506833333333335,47.3123
132,1925,8.534416666666667,47.36195
133,1926,8.728833333333332,47.71190000000001
134,1927,8.522083333333333,47.33975
135,1928,8.632166666666668,47.5379
136,1929,8.242416666666665,46.83635
137,1930,8.633583333333332,47.54045
138,1931,8.71925,47.69465
139,1932,8.705250000000001,47.669450000000005
140,1933,8.33825,47.008849999999995
141,1934,8.628333333333332,47.531000000000006
142,1935,8.51575,47.32835
143,1936,8.554,47.3972
144,1937,8.698333333333332,47.657000000000004
145,1938,8.863666666666665,47.9546
146,1939,8.760333333333334,47.7686
147,1940,8.764666666666665,47.7764
148,1941,8.768666666666668,47.78360000000001
149,1942,8.728416666666666,47.71115
150,1943,8.755083333333333,47.759150000000005
151,1944,8.845,47.92099999999999
152,1945,8.584833333333332,47.4527
153,1946,8.676916666666665,47.61845
154,1947,8.797083333333333,47.83474999999999
155,1948,8.74675,47.74415
156,1949,8.586749999999999,47.45615000000001
157,1950,8.365250000000001,47.057449999999996
158,1951,8.625666666666666,47.526199999999996
159,1952,8.638250000000001,47.548849999999995
160,1953,8.873750000000003,47.97275
161,1954,8.560666666666666,47.4092
162,1955,8.62625,47.52725
163,1956,8.279583333333333,46.90325000000001
164,1957,8.7325,47.718500000000006
165,1958,8.773750000000001,47.792750000000005
166,1959,8.732666666666665,47.71880000000001
167,1960,8.58375,47.45075
168,1961,8.797666666666666,47.8358
169,1962,8.745916666666666,47.742650000000005
170,1963,8.856,47.940799999999996
171,1964,8.409666666666666,47.137400000000014
172,1965,8.527416666666667,47.34935000000001
173,1966,8.599333333333332,47.4788
174,1967,8.700083333333334,47.660149999999994
175,1968,8.516333333333334,47.3294
176,1969,8.595083333333333,47.471149999999994
177,1970,8.700916666666666,47.66165
178,1971,8.59925,47.478649999999995
179,1972,8.499583333333334,47.29925
180,1973,8.94825,48.10685
181,1974,8.4675,47.2415
182,1975,8.744833333333334,47.740700000000004
183,1976,8.347249999999999,47.02505
184,1977,8.850249999999999,47.93045000000001
185,1978,8.692749999999998,47.64695
186,1979,8.733416666666665,47.72015
187,1980,8.980333333333334,48.1646
188,1981,9.165833333333333,48.4985
189,1982,8.639166666666666,47.5505
190,1983,9.028166666666666,48.2507
191,1984,8.691833333333335,47.6453
192,1985,8.658,47.58440000000001
193,1986,8.833583333333335,47.90045
194,1987,8.994416666666668,48.18995
195,1988,9.201583333333334,48.56285
196,1989,8.921999999999999,48.059599999999996
197,1990,9.234166666666667,48.621500000000005
198,1991,9.179416666666667,48.52295000000001
199,1992,8.836583333333333,47.905849999999994
200,1993,8.866583333333333,47.95985000000001
201,1994,9.038749999999999,48.26975000000001
202,1995,9.347083333333332,48.824749999999995
203,1996,9.038916666666667,48.27004999999999
204,1997,9.202583333333333,48.56465
205,1998,9.522666666666666,49.14079999999999
206,1999,9.285083333333333,48.71314999999999
207,2000,9.201166666666667,48.562099999999994
208,2001,9.414583333333335,48.94625
209,2002,9.570416666666667,49.22675000000001
210,2003,9.525583333333335,49.14605
211,2004,9.324583333333333,48.78424999999999
212,2005,9.700916666666666,49.46164999999999
213,2006,9.532499999999999,49.1585
214,2007,9.732166666666666,49.5179
215,2008,9.431750000000001,48.97715
216,2009,9.505250000000002,49.10945
217,2010,9.703083333333332,49.46555
218,2011,9.516,49.128800000000005
219,2012,9.507333333333333,49.1132
